FigueiraDaFoz,2013-05-08 21:02,1368043320,0.76
FigueiraDaFoz,2013-05-09 03:14,1368065640,3.24
FigueiraDaFoz,2013-05-09 09:16,1368087360,0.75
FigueiraDaFoz,2013-05-09 15:33,1368109980,3.3
FigueiraDaFoz,2013-05-09 21:39,1368131940,0.72
FigueiraDaFoz,2013-05-10 03:51,1368154260,3.23
FigueiraDaFoz,2013-05-10 09:50,1368175800,0.75
FigueiraDaFoz,2013-05-10 16:08,1368198480,3.31
FigueiraDaFoz,2013-05-10 22:14,1368220440,0.72
FigueiraDaFoz,2013-05-11 04:26,1368242760,3.19
FigueiraDaFoz,2013-05-11 10:23,1368264180,0.79
FigueiraDaFoz,2013-05-11 16:42,1368286920,3.29
FigueiraDaFoz,2013-05-11 22:49,1368308940,0.76
FigueiraDaFoz,2013-05-12 05:01,1368331260,3.12
FigueiraDaFoz,2013-05-12 10:56,1368352560,0.85
FigueiraDaFoz,2013-05-12 17:16,1368375360,3.24
FigueiraDaFoz,2013-05-12 23:23,1368397380,0.83
FigueiraDaFoz,2013-05-13 05:36,1368419760,3.03
FigueiraDaFoz,2013-05-13 23:58,1368485880,0.93
FigueiraDaFoz,2013-05-14 06:12,1368508320,2.92
FigueiraDaFoz,2013-05-14 12:04,1368529440,1.04
FigueiraDaFoz,2013-05-14 18:26,1368552360,3.05
FigueiraDaFoz,2013-05-15 00:37,1368574620,1.05
FigueiraDaFoz,2013-05-15 06:51,1368597060,2.81
FigueiraDaFoz,2013-05-15 12:43,1368618180,1.16
FigueiraDaFoz,2013-05-15 19:06,1368641160,2.93
FigueiraDaFoz,2013-05-16 01:21,1368663660,1.16
FigueiraDaFoz,2013-05-16 07:36,1368686160,2.69
FigueiraDaFoz,2013-05-16 13:29,1368707340,1.28
FigueiraDaFoz,2013-05-16 19:54,1368730440,2.81
FigueiraDaFoz,2013-05-17 02:14,1368753240,1.26
FigueiraDaFoz,2013-05-17 08:32,1368775920,2.6
FigueiraDaFoz,2013-05-17 14:25,1368797100,1.38
FigueiraDaFoz,2013-05-17 20:53,1368820380,2.73
FigueiraDaFoz,2013-05-18 03:19,1368843540,1.32
FigueiraDaFoz,2013-05-18 22:02,1368910920,2.71
FigueiraDaFoz,2013-05-19 04:30,1368934200,1.29
FigueiraDaFoz,2013-05-19 10:50,1368957000,2.62
FigueiraDaFoz,2013-05-19 16:48,1368978480,1.38
FigueiraDaFoz,2013-05-19 23:11,1369001460,2.77
FigueiraDaFoz,2013-05-20 05:34,1369024440,1.19
FigueiraDaFoz,2013-05-20 11:52,1369047120,2.76
FigueiraDaFoz,2013-05-20 17:52,1369068720,1.24
FigueiraDaFoz,2013-05-21 00:11,1369091460,2.91
FigueiraDaFoz,2013-05-21 06:28,1369114080,1.03
FigueiraDaFoz,2013-05-21 12:45,1369136700,2.94
FigueiraDaFoz,2013-05-21 18:47,1369158420,1.05
FigueiraDaFoz,2013-05-22 01:04,1369181040,3.08
FigueiraDaFoz,2013-05-22 07:16,1369203360,0.86
FigueiraDaFoz,2013-05-22 13:33,1369225980,3.15
FigueiraDaFoz,2013-05-22 19:37,1369247820,0.84
FigueiraDaFoz,2013-05-23 01:53,1369270380,3.25
FigueiraDaFoz,2013-05-23 20:24,1369337040,0.63
FigueiraDaFoz,2013-05-24 02:42,1369359720,3.4
FigueiraDaFoz,2013-05-24 08:47,1369381620,0.55
FigueiraDaFoz,2013-05-24 15:06,1369404360,3.54
